X,Y,Z,slop(x),slop(x/z),slop(1/z),slop(1/x),slop(z/x),slop(z),Label
-0.48951562976137336,-3.161928713535821,-1.0357105973130325,-0.5853022861861072,-0.20550313966304193,-0.21522097230403817,0.032603086176182135,0.009366560497430213,0.2255651733966148,10
0.7146335474772337,-2.3459038784966384,-0.3917822538593577,-0.40153671325994755,-0.24068764671322637,-0.2401761838610491,0.04794965164333686,0.015061308012502,0.3066290454558815,16
1.036466602709584,0.3004743465049408,-0.13269390876658255,-0.3818221131444033,-0.25899364654453,-0.25756842051103734,0.04962382242157192,0.020795453110008855,0.4052692212100913,14
-0.17989658393575939,0.3102122393415236,0.7629663907426242,-0.32942738168338853,-0.4500758593039383,-0.45106574547383854,0.054646334756277115,-0.012953573626717226,-0.1899786406605573,0
1.1878994816311086,0.46861176792783266,-0.18843973277295856,2.438054479015011,-0.3111423662363932,-0.32428509696877017,-0.466857862663945,0.26543543883591714,-2.4158474656371802,3
1.1702700531925352,0.457762485147948,-0.24658601840609556,3.03890458407351,-0.344933925102242,-0.2796745210914332,-0.33431934272033587,-0.049892800521473345,0.6735059110323429,3
-0.0253370660313786,-2.3459038784966384,-1.0875931044252278,-0.40153787870095714,-0.24068760031014153,-0.2401761838610491,0.04794965164333686,0.015061297065536237,0.3066290454558815,16
0.005342186675506925,0.3068780695116061,0.012204218558066873,-0.3781160107344109,2.3355769041427408,2.323157043631737,0.0499028508846111,-0.0023426935781750697,-0.006287217149340525,-1
-1.6496399440984262,0.29989218986797234,-0.01468622093546846,-0.36381488410767604,3.1203083204352504,3.129974396571934,0.05129799319980699,-0.0024591561575413113,-0.008407904325287322,8
-1.204057200109829,0.2904718370151943,0.955618452966193,-0.5207147108844192,-0.501177633448946,-0.48531574991218124,0.037625598510887294,-0.010163367387466371,-0.15499536570677336,2
0.3854157670920474,0.4739041009911902,0.12765146176406336,-0.36234176667175466,-0.9833429464437743,-0.9835465956433781,0.05157702166284617,-0.0048798530409232925,-0.05102121821534374,17
-1.4582709770309326,0.7292062479675815,3.036192198018242,-0.3772897130587239,-0.37873646788959414,-0.37658218900357093,0.050181879347650275,-0.02447321549077989,-0.39895704129637166,5
1.1923384012453702,0.3258246218784265,0.049576609071708425,-0.4827586280892522,0.05846274152344929,0.03856951262429032,0.04069491160431825,0.0007571829828897195,0.05231994850303708,6
-0.22566233477121975,0.4740099476524545,-0.5452315790009132,-0.3288481575017008,-0.14719669989255524,-0.14171839388851765,0.054646334756277115,0.005150475842477887,0.12298600264069393,9
-0.9959478716841386,-2.3459038784966384,-2.0002800796886757,-0.40153787870095714,-0.24068760031014153,-0.2401761838610491,0.04794965164333686,0.015061297065536237,0.3066290454558815,16
1.1336067492910926,0.19722092843882835,-0.01763552438919779,0.2552405749591538,-0.30878553863765607,-0.3032188894128541,0.1389129305941086,0.17996277518830178,2.1321052776818115,6
-1.3410510122495578,0.3004743465049408,-3.083926833270276,-0.3818221131444033,-0.25899337244758647,-0.25756814843160264,0.04962382242157192,0.0207953398089132,0.40526720534775673,14
-1.6366502840853026,0.3068780695116061,-0.031752991450349245,-0.3781160107344109,2.3355769041427408,2.323157043631737,0.0499028508846111,-0.0023426935781750697,-0.006287217149340525,-1
-0.1628646212886197,0.23394971989853208,1.0784512416063985,-0.4148017628292976,-0.40813699898987355,-0.4040395648323985,0.046554509328140974,-0.017560446714488656,-0.2815330603088232,7
-0.0571915008017784,0.3004743465049408,-1.490261051397987,-0.3818221131444033,-0.25899364654453,-0.25756842051103734,0.04962382242157192,0.020795453110008855,0.4052692212100913,14
1.1317998701174765,0.2265933769404643,0.5495246670684713,1.620954463774466,-0.31572066628180934,-0.32113935218799583,-2.6907147130861873,2.920289205258444,-3.526138074673729,15
-1.2361980708496718,-2.3459038784966384,-2.226192688365332,-0.40153787870095714,-0.2406880730137706,-0.24017664818468168,0.04794965164333686,0.015061409271935318,0.30663106131821605,16
-0.04391211618651463,0.4740099476524545,-0.4688794808687225,-0.3288481575017008,-0.14719669989255524,-0.14171839388851765,0.054646334756277115,0.005150475842477887,0.12298600264069393,9
-1.1484018434887646,0.26268708843256444,1.6036223364285724,-0.5739695378103946,-0.4221043536819458,-0.40971298801849104,0.03344017156529963,-0.015620999427760785,-0.2656984616709315,1
-1.2842481118643234,-2.3459038784966384,-2.2713752214162124,-0.40153671325994755,-0.24068764671322637,-0.2401761838610491,0.04794965164333686,0.015061308012502,0.3066290454558815,16
1.1297496045548927,0.237072196405915,-0.7807391316999507,2.2218511864733426,-0.31960024983934143,-0.3055921738614187,-0.5700983939884405,-0.39865672085002085,2.7148346344549035,6
